Formula,K_frac,Rb_frac,Cs_frac,MA_frac,FA_frac,Li_frac,Ca_frac,Sr_frac,Ba_frac,Ge_frac,Sn_frac,Pb_frac,Be_frac,Ni_frac,Cl_frac,Br_frac,I_frac,F_frac,A_Ionic_radius,B_Ionic_radius,X_Ionic_radius,A+B_Ionic_radius,A+X_Ionic_radius,B+X_Ionic_radius,A/B_Ionic_radius,A/X_Ionic_radius,B/X_Ionic_radius,Tolerance factor,Octahedral factor,A_Ionization energy(kJ/mol),B_Ionization energy(kJ/mol),X_Ionization energy(kJ/mol),A_Electron_affinity(kJ/mol),B_Electron_affinity(kJ/mol),X_Electron_affinity(kJ/mol),B_Valence_electrons,A_Boiling_point(K),B_Boiling_point(K),X_Boiling_point(K),A_Melting_point(K),B_Melting_point(K),X_Melting_point(K),A_Density(g/cc),B_Density(g/cc),X_Density(g/cc),A_Atomic_weight(u),B_Atomic_weight(u),X_Atomic_weight(u),A_Heat_of_fusion(kJ/mol),B_Heat_of_fusion(kJ/mol),X_Heat_of_fusion(kJ/mol),A_Heat_of_vap(kJ/mol),B_Heat_of_vap(kJ/mol),X_Heat_of_vap(kJ/mol),A_Electronegativity,B_Electronegativity,X_Electronegativity,Decomposition Energy (eV p.f.u.),Band Gap (eV),SLME @ 5um
FACaI_3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,2.53,1,2.2,3.53,4.73,3.2,2.53,1.15,0.45,1.05,0.45,849.1,589.8,1008.4,8.6,-156,295.3,2,319,1757,457.5,354,1112,386.7,1.1,1.55,4.93,45.06,40.08,126.9,6.5,8.53,7.76,29,154.67,20.9,2.57,1,2.66,-0.323,3.438,0.005
FACaBr_3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,2.53,1,1.96,3.53,4.49,2.96,2.53,1.29,0.51,1.07,0.51,849.1,589.8,1139.9,8.6,-156,324.6,2,319,1757,331.85,354,1112,265.95,1.1,1.55,3.12,45.06,40.08,79.9,6.5,8.53,5.29,29,154.67,14.73,2.57,1,2.96,-0.776,4.225,0
FACaCl_3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,2.53,1,1.81,3.53,4.34,2.81,2.53,1.4,0.55,1.09,0.55,849.1,589.8,1251.1,8.6,-156,348.8,2,319,1757,239.18,354,1112,172.17,1.1,1.55,3.21,45.06,40.08,35.45,6.5,8.53,3.21,29,154.67,10.2,2.57,1,3.16,-0.864,4.728,0
MABaI_3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2.17,1.42,2.2,3.59,4.37,3.62,1.53,0.99,0.65,0.85,0.65,926.3,502.9,1008.4,8.68,-52,295.3,2,267,2078,457.5,180.65,1002,386.7,0.7,3.59,4.93,32.07,137.33,126.9,6.13,8.01,7.76,23.85,140.2,20.9,2.55,1,2.66,0.072,3.773,0.001
MABaBr_3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2.17,1.42,1.96,3.59,4.13,3.38,1.53,1.11,0.72,0.86,0.72,926.3,502.9,1139.9,8.68,-52,324.6,2,267,2078,331.85,180.65,1002,265.95,0.7,3.59,3.12,32.07,137.33,79.9,6.13,8.01,5.29,23.85,140.2,14.73,2.55,1,2.96,0.131,4.239,0
MABaCl_3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2.17,1.42,1.81,3.59,3.98,3.23,1.53,1.2,0.78,0.87,0.78,926.3,502.9,1251.1,8.68,-52,348.8,2,267,2078,239.18,180.65,1002,172.17,0.7,3.59,3.21,32.07,137.33,35.45,6.13,8.01,3.21,23.85,140.2,10.2,2.55,1,3.16,0.245,4.909,0
MASrI_3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2.17,1.26,2.2,3.43,4.37,3.46,1.72,0.99,0.57,0.89,0.57,926.3,549.5,1008.4,8.68,-168,295.3,2,267,1655,457.5,180.65,1042,386.7,0.7,2.54,4.93,32.07,87.62,126.9,6.13,8.2,7.76,23.85,136.9,20.9,2.55,0.95,2.66,-0.02,3.763,0.001
MASrBr_3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2.17,1.26,1.96,3.43,4.13,3.22,1.72,1.11,0.64,0.91,0.64,926.3,549.5,1139.9,8.68,-168,324.6,2,267,1655,331.85,180.65,1042,265.95,0.7,2.54,3.12,32.07,87.62,79.9,6.13,8.2,5.29,23.85,136.9,14.73,2.55,0.95,2.96,-0.029,4.31,0
MASrCl_3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2.17,1.26,1.81,3.43,3.98,3.07,1.72,1.2,0.7,0.92,0.7,926.3,549.5,1251.1,8.68,-168,348.8,2,267,1655,239.18,180.65,1042,172.17,0.7,2.54,3.21,32.07,87.62,35.45,6.13,8.2,3.21,23.85,136.9,10.2,2.55,0.95,3.16,-0.004,5.106,0
MACaI_3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2.17,1,2.2,3.17,4.37,3.2,2.17,0.99,0.45,0.97,0.45,926.3,589.8,1008.4,8.68,-156,295.3,2,267,1757,457.5,180.65,1112,386.7,0.7,1.55,4.93,32.07,40.08,126.9,6.13,8.53,7.76,23.85,154.67,20.9,2.55,1,2.66,0.09,3.599,0.002
MACaBr_3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2.17,1,1.96,3.17,4.13,2.96,2.17,1.11,0.51,0.99,0.51,926.3,589.8,1139.9,8.68,-156,324.6,2,267,1757,331.85,180.65,1112,265.95,0.7,1.55,3.12,32.07,40.08,79.9,6.13,8.53,5.29,23.85,154.67,14.73,2.55,1,2.96,-0.061,4.374,0
MACaCl_3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2.17,1,1.81,3.17,3.98,2.81,2.17,1.2,0.55,1,0.55,926.3,589.8,1251.1,8.68,-156,348.8,2,267,1757,239.18,180.65,1112,172.17,0.7,1.55,3.21,32.07,40.08,35.45,6.13,8.53,3.21,23.85,154.67,10.2,2.55,1,3.16,-0.058,5.249,0
CsBaI_3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1.74,1.42,2.2,3.16,3.94,3.62,1.23,0.79,0.65,0.77,0.65,375.7,502.9,1008.4,45.49,-52,295.3,2,944,2078,457.5,301.54,1002,386.7,1.87,3.59,4.93,132.91,137.33,126.9,2.09,8.01,7.76,67.74,140.2,20.9,0.79,1,2.66,0.269,3.511,0.003
CsBaBr_3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1.74,1.42,1.96,3.16,3.7,3.38,1.23,0.89,0.72,0.77,0.72,375.7,502.9,1139.9,45.49,-52,324.6,2,944,2078,331.85,301.54,1002,265.95,1.87,3.59,3.12,132.91,137.33,79.9,2.09,8.01,5.29,67.74,140.2,14.73,0.79,1,2.96,0.271,3.996,0
CsBaCl_3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1.74,1.42,1.81,3.16,3.55,3.23,1.23,0.96,0.78,0.78,0.78,375.7,502.9,1251.1,45.49,-52,348.8,2,944,2078,239.18,301.54,1002,172.17,1.87,3.59,3.21,132.91,137.33,35.45,2.09,8.01,3.21,67.74,140.2,10.2,0.79,1,3.16,2.029,4.667,0
CsSrI_3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1.74,1.26,2.2,3,3.94,3.46,1.38,0.79,0.57,0.81,0.57,375.7,549.5,1008.4,45.49,-168,295.3,2,944,1655,457.5,301.54,1042,386.7,1.87,2.54,4.93,132.91,87.62,126.9,2.09,8.2,7.76,67.74,136.9,20.9,0.79,0.95,2.66,0.041,3.612,0.002
CsSrBr_3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1.74,1.26,1.96,3,3.7,3.22,1.38,0.89,0.64,0.81,0.64,375.7,549.5,1139.9,45.49,-168,324.6,2,944,1655,331.85,301.54,1042,265.95,1.87,2.54,3.12,132.91,87.62,79.9,2.09,8.2,5.29,67.74,136.9,14.73,0.79,0.95,2.96,-0.036,4.165,0
CsSrCl_3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1.74,1.26,1.81,3,3.55,3.07,1.38,0.96,0.7,0.82,0.7,375.7,549.5,1251.1,45.49,-168,348.8,2,944,1655,239.18,301.54,1042,172.17,1.87,2.54,3.21,132.91,87.62,35.45,2.09,8.2,3.21,67.74,136.9,10.2,0.79,0.95,3.16,1.613,4.94,0
CsCaI_3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1.74,1,2.2,2.74,3.94,3.2,1.74,0.79,0.45,0.87,0.45,375.7,589.8,1008.4,45.49,-156,295.3,2,944,1757,457.5,301.54,1112,386.7,1.87,1.55,4.93,132.91,40.08,126.9,2.09,8.53,7.76,67.74,154.67,20.9,0.79,1,2.66,0.036,3.713,0.001
CsCaBr_3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1.74,1,1.96,2.74,3.7,2.96,1.74,0.89,0.51,0.88,0.51,375.7,589.8,1139.9,45.49,-156,324.6,2,944,1757,331.85,301.54,1112,265.95,1.87,1.55,3.12,132.91,40.08,79.9,2.09,8.53,5.29,67.74,154.67,14.73,0.79,1,2.96,-0.22,4.4,0
CsCaCl_3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1.74,1,1.81,2.74,3.55,2.81,1.74,0.96,0.55,0.89,0.55,375.7,589.8,1251.1,45.49,-156,348.8,2,944,1757,239.18,301.54,1112,172.17,1.87,1.55,3.21,132.91,40.08,35.45,2.09,8.53,3.21,67.74,154.67,10.2,0.79,1,3.16,1.391,5.367,0
RbBaI_3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1.61,1.42,2.2,3.03,3.81,3.62,1.13,0.73,0.65,0.74,0.65,403,502.9,1008.4,46.89,-52,295.3,2,961,2078,457.5,312.63,1002,386.7,1.53,3.59,4.93,85.47,137.33,126.9,2.34,8.01,7.76,69.2,140.2,20.9,0.82,1,2.66,2.752,3.231,0.006
RbBaBr_3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1.61,1.42,1.96,3.03,3.57,3.38,1.13,0.82,0.72,0.75,0.72,403,502.9,1139.9,46.89,-52,324.6,2,961,2078,331.85,312.63,1002,265.95,1.53,3.59,3.12,85.47,137.33,79.9,2.34,8.01,5.29,69.2,140.2,14.73,0.82,1,2.96,0.534,3.723,0.001
